,Identifiant,Url,Titre,Latitude,Longitude,Resume,Capacite_accueil,NombreSdB,NbChambres,NbLits,Type_logement,type_propriete,type_lit,Animal_sur_place,Cuisine,Internet,television,produits_base,Shampooing,Chauffage,Climatisation,machine_laver,seche_linge,parking_sur-place,wifi,television_cable,petit_dejeuner,animaux_acceptes,pourEnfants_famille,adapte_evenements,logement_fumeur,accessibilite,Ascenseur,cheminee_interieur,Interphone,Portier,Piscine,Jacuzzi,salle_sport,Entree_24-24,Cintres,fer_repasser,seche_cheveux,espace_travail_ordi,detecteur_fumee,monoxyde_carbone_detect,kit_secours,fiche_securite,extincteur,porte_chambre_verrou,rection_semaine,reduction_mois,surcout_voyageur_supp,frais_menage,Caution,conditions_annulation,Description,reglement_interieur,duree_minimale_sejour
2036,8375965,https://www.airbnb.fr/rooms/8375965,Appart SAINT RÉMI T2 38m² Bordeaux,44.8408402455,-0.5733086962,"Dans l'hyper centre de Bordeaux. juste derrière la place de La Bourse, cet appartement est très cosy et fonctionnel. Au 4e étage d'un très bel immeuble, il bénéficie d'une superbe vue sur les toits de Bordeaux... et donc d'une grande clarté !

Les Plus :
- Une déco très cosy
- TV et Internet WIFI
- Grande clarté grâce ses 2 grandes fenêtres : La plus belle vue de Bordeaux...
- Très bien équipé \",3,1,1,0,Logement entier,Appartement,,,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,13,35,0,30,500,Strictes,"Le logement

Les Plus :

- Une déco très cosy

- TV et Internet WIFI

- Grande clarté grâce ses 2 grandes fenêtres : La plus belle vue de Bordeaux...

- Très bien équipé ""Prêts à vivre""

1 lit en 140 avec literie de grande qualité

1 canapé convertible en 140

A votre arrivée, le lit est fait et le linge de toilette est fourni.

Accès des voyageurs

Tout le logement.

Au 4e étage sans ascenseur.

Échanges avec les voyageurs

Par e-mail Airbnb ou par téléphone.

Pour une arrivée tardive (après 20h00), je demande un supplément de 20,00€

Après 22h00, je demande un supplément de 40,00€

Le quartier

Au pied de la célèbre place de la Bourse et du miroir d'eau, au cœur d'un quartier vivant de jour comme de nuit.

D'un côté, vous êtes sur les quais avec les beaux immeubles du XVIII ème siècle et de l'autre, dans le Vieux Bordeaux avec ses superbes façades de pierre.

La vie animée de Bordeaux se trouve à vos pieds... avec de nombreux bars et restaurants.

Transports

Pour vous rendre à :

&gt, Aéroport Bordeaux-Mérignac: Bus Liane n°1 à 500m (Place des Quinconces)

&gt, Gare Bordeaux Saint-Jean: Tram C à 100m (Arrêt  : BOURSE)

Autres remarques

Appartement Non-fumeur

Animaux non acceptés

Je mets à disposition un logement propre et agréable à vivre, je souhaite donc que vous respectiez :

- la vie du voisinage. Cet appartement fait partie d'un immeuble dans lequel des personnes vivent au quotidien. Il est donc indispensable qu'il n'y ait pas de bruit outrancier après 22h. S'il y a abus sur ce point, les locataires peuvent être renvoyés et la caution retenue.

- les lieux, je ne fais payer qu'une participation des frais de ménage, je souhaite donc retrouver mon appartement propre et rangé...

J'aime recevoir et échanger avec des personnes de tous horizons. 

Ayant une bonne connaissance de notre belle ville, je propose toujours les bons ""plans"" pour profiter au mieux de son Séjour A Bordeaux...

C'est bien pour cela qu'il faut Réserver malin, Réserver Urbain, Réserver dans la Capitale du Vin...","L'entrée dans les lieux se fait après 15:00

Appartement Non-fumeur

Animaux non acceptés

Je mets à disposition un logement propre et agréable à vivre, je souhaite donc que vous respectiez :

- la vie du voisinage. Cet appartement fait partie d'un immeuble dans lequel des personnes vivent au quotidien. Il est donc indispensable qu'il n'y ait pas de bruit outrancier après 22h. S'il y a abus sur ce point, les locataires peuvent être renvoyés et la caution retenue.

- les lieux, je ne fais payer qu'une participation des frais de ménage, je souhaite donc retrouver mon appartement propre et rangé...",3
1830,7552876,https://www.airbnb.fr/rooms/7552876,T2 - 55m2 - Bordeaux hypercentre,44.837521564,-0.5690126059,"Cet appartement de 55m2 au coeur du centre historique de Bordeaux vous permet de découvrir la ville à pied. Situé dans un quartier très vivant, vous trouverez à quelques dizaines de mètres : commerces, restaurants, bars à vins, quais, miroir d'eau...

L'appartement est très lumineux et idéalement placé en plein centre de Bordeaux. Commerces à quelques dizaines de mètres seulement, idéal pour tout faire à pied : 
- Carrefour : 50m
- Rue St Catherine avec tous les magasins : 5 minutes
- Les quais : 50m
- Tramway ligne A : 10m
- Tramway ligne C : 50m
- Restaurants et bars à vins à 1 minute
- Station Vcub : 50m
- Miroir d'eau : 5 minutes
- Gare St Jean : 3 stations de tramway (C)
- ...

Une fiche avec quelques informations concernant l'appartement, sa localisation, les commerces proches et les lieux à ne pas manquer sera à votre disposition. Pour toute autre information et question, nous serons joignables sans problème !

Le quartier est très vivant, vous trouverez très vite des restaurants, bars à vins, bars ... à proximité. Toutefois, la partie nuit de l'appartement reste très calme !

2 lignes de tramway sur 3 se trouvent à moins d'1 minute de l'appartement.",4,1,1,0,Logement entier,Appartement,,,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Modérées,"Le logement

L'appartement est très lumineux et idéalement placé en plein centre de Bordeaux. Commerces à quelques dizaines de mètres seulement, idéal pour tout faire à pied : 

- Carrefour : 50m

- Rue St Catherine avec tous les magasins : 5 minutes

- Les quais : 50m

- Tramway ligne A : 10m

- Tramway ligne C : 50m

- Restaurants et bars à vins à 1 minute

- Station Vcub : 50m

- Miroir d'eau : 5 minutes

- Gare St Jean : 3 stations de tramway (C)

- ...

Échanges avec les voyageurs

Une fiche avec quelques informations concernant l'appartement, sa localisation, les commerces proches et les lieux à ne pas manquer sera à votre disposition. Pour toute autre information et question, nous serons joignables sans problème !

Le quartier

Le quartier est très vivant, vous trouverez très vite des restaurants, bars à vins, bars ... à proximité. Toutefois, la partie nuit de l'appartement reste très calme !

Transports

2 lignes de tramway sur 3 se trouvent à moins d'1 minute de l'appartement.",,1
2060,8518905,https://www.airbnb.fr/rooms/8518905,Chambre petit dejeuner Bordeaux,44.8292904338,-0.5593938008,"Grande maison familiale avec jardin  proche gare st Jean et tram et navette aéroport, à 15 mn du centre ville à pied
nous proposons une chambre avec petit déjeuner.
Nous avons également sur ce site une autre chambre avec douche privée",1,1,1,0,Chambre privée,Maison,Vrai lit,,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flexibles,"Grande maison familiale avec jardin  proche gare st Jean et tram et navette aéroport, à 15 mn du centre ville à pied

nous proposons une chambre avec petit déjeuner.

Nous avons également sur ce site une autre chambre avec douche privée

Chambre et petit déjeuner sur Bordeaux ",,1
1984,8125293,https://www.airbnb.fr/rooms/8125293,Chambre dans quartier très calme,44.8559582969,-0.5761032049,"Notre maison familiale (2 parents et 2 enfants) est située dans un quartier calme composé d'échoppes typiquement bordelaises.
A 200m, vous trouverez la ligne de tramway C qui relie le centre historique en 10mn, la gare Saint Jean en 20mn, ainsi que le \",2,1,1,0,Chambre privée,Maison,Canapé convertible,,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,27,0,0,0,0,Flexibles,"Le logement

Quartier calme, à proximité de commerces, restaurants et promenades enrichissantes.

Accès des voyageurs

Vous avez accès à la chambre, la salle de bain, la cuisine, le salon, ainsi qu'au jardin.

Échanges avec les voyageurs

Nous somme présents la plupart du temps le week end. Aussi, nous pouvons vous renseigner et vous donner des bonnes idées de sorties ou de visites.

Le quartier

Notre quartier est familial et calme. Il bénéficie de la proximité des Chartrons, riches d'histoire et d'animations. Les amateurs de vin et d'architecture trouveront leur bonheur au cours de leur séjour.

Transports

Notre maison est à 200m du tram C arrêt Camille Godard.

V-Cub à proximité.

Lignes de bus à 100m.

Autres remarques

Nous pouvons prêter deux vélos.

Dynamique et sportif, je voyage régulièrement en famille à travers le monde. ","Notre famille de quatre personnes apprécie les échanges avec les voyageurs. Pensez cependant à rester discrets en soirée et la nuit, votre chambre jouxtant les nôtres...Pas de musique, pas de cigarettes.",2
1491,6722752,https://www.airbnb.fr/rooms/6722752,Chambre en centre ville,44.8432547386,-0.5840834527,"Chambre privée dans un ancien appartement bordelais spacieux, premier étage, au pied de la basilique Saint Seurin et à 500 mètres de la place Gambetta (bus, tramway, Vcub). Belles pièces lumineuses et agréables, beaucoup de cachet.",2,1,1,1,Chambre privée,Appartement,Canapé convertible,Chat(s),1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,6,5,0,Flexibles,"Chambre privée dans un ancien appartement bordelais spacieux, premier étage, au pied de la basilique Saint Seurin et à 500 mètres de la place Gambetta (bus, tramway, Vcub). Belles pièces lumineuses et agréables, beaucoup de cachet.

Je suis photographe, mon amie est travailleuse sociale. Nous sommes passionnés par la littérature, la musique et les arts en général.

Nous connaissons vraiment bien la ville de Bordeaux et pouvons vous y guider sans problème, notamment pour vous indiquer les coins sympas du moment.

Nous nous rendrons disponible pour votre accueil et vous accompagner au mieux dans cette ville que l'on adore ! ",,1
3953,13278168,https://www.airbnb.fr/rooms/13278168,Central bien desservi proche gare et tram,44.8276580638,-0.5650782071,Mon logement est parfait pour les voyageurs en solo.,1,1,1,0,Chambre privée,Maison de ville,Vrai lit,,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,150,Flexibles,Mon logement est parfait pour les voyageurs en solo.,"Ne convient pas aux animaux

Ne convient pas aux enfants (0-12 ans)

- Chambre et salle de bain indépendants",3
1800,7449107,https://www.airbnb.fr/rooms/7449107,Chambre privée dans F4 à Caudéran,44.8470520885,-0.6115281485,"Chambre privée 7m² avec balcon et vue imprenable sur Bordeaux
A proximité (3minutes à pied) bus 16 Direction Gare Saint Jean
A proximité, bus 1 direction aéroport de Mérignac
Toutes commodités à proximité à pied (Carrefour, pharmacie, la poste...)",2,1,1,0,Chambre privée,Appartement,Canapé convertible,Autres animaux,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,15,0,0,Flexibles,"Chambre privée 7m² avec balcon et vue imprenable sur Bordeaux

A proximité (3minutes à pied) bus 16 Direction Gare Saint Jean

A proximité, bus 1 direction aéroport de Mérignac

Toutes commodités à proximité à pied (Carrefour, pharmacie, la poste...)

Deux colocataires soignés vous garantissent un accueil chaleureux et agréable.

",,1
899,4888847,https://www.airbnb.fr/rooms/4888847,T1 Cosy Chartrons avec TERRASSE,44.8503831816,-0.5722683931,"Au calme, dans un quartier de charme, découvrez ce cocon douillet pierre et bois et sa terrasse tropézienne. A proximité de tout, posez vos valises et parcourez Bordeaux. Immeuble ancien en pierre, prestigieux et sécurisé. Taxe de séjour incluse.

Venez découvrir ce charmant studio-T1 tout équipé avec terrasse au centre de Bordeaux, dans un quartier atypique historique  : les Chartrons, aussi réputé pour ses antiquaires et la célèbre Rue Notre Dame.

A deux pas des trams, VCub, bus, quais, vous vous sentirez bordelais dès votre arrivée. Bars, restaurants boutiques design, partout autour de vous pour partager la convivialité du quartier, 

Accès direct en tram depuis la gare SNCF (tram 20 minutes) , et depuis le parc des expositions (tram 10 minutes). Tout près de la cité mondiale. 

Cet appartement vient d'être entièrement redécoré. Il comprend une pièce à vivre de 30 m2 , avec un coin nuit sous les toits dans lequel on peut se tenir debout, mais pas partout, dans un bel immeuble en Pierre d'époque, entièrement sécurisé. 

Coin nuit : lit deux places 140cm, partie mansardé.
Salon : canapé (non dépliable) , fauteuil et table basse.
Cuisine entièrement équipée, table pour deux.
Terrasse de 12m2 sur les toits, plein sud, au calme. Idéal pour les repas sous le soleil (tables et chaises extérieures pour se prélasser)
Salle de bain : douche, une vasque,WC intégrés, machine à laver. 

Très belles prestations : pierre et poutre apparentes, parquet, déco tendance. Très lumineux. Espace optimisé pour votre confort.

Le lieu est tout équipé : wifi, climatisation, ventilateur, 2 plaques de cuisson vitrocéramique, hotte de cuisson, four, micro onde, tout pour la cuisine, cafetière senseo, grille pain, bouilloire,  fait-tout, blinder, frigo, enceinte musique.

Tout.
Pour des check in après 20H00, merci de le préciser lors de votre demande, car je ne pourrais certainement pas vous recevoir, dans ces cas là, j'essaye de trouver quelqu'un qui peut le faire, mais il faut prévoir un supplément (comptez 25€ à payer en espèce sur place). Si je ne trouve personne, vous devrez annuler votre séjour.

Le plus possible.
Les voyageurs peuvent échanger avec moi avant leur arrivée pour organiser leur séjour. 
Lors du check in, je leur fais visiter les lieux, et leur indique tous les bons coins du quartier. 
Je reste disponible pendant leur séjour.

Le quartier est excellent : tres atypique, un village dans la ville où il fait très bon vivre, proche de l'hyper centre, mais suffisamment à proximité pour ne pas être embêté par le bruit et le monde.  A quelques mètres, tous les commerces : boulangerie, boucherie, supermarché, cave à vin, restaurants, bars, antiquaires, etc.
Les quais pour de belles balades. 
Le fameux marché des quais le dimanche ! Un luxe aux allures sereine et paisible.

Depuis la GARE TGV SNCF : (20 min en tram) 
Accès direct.
Prendre la Ligne C direction Parc des expositions 
Descendre à l'arrêt Place Paul Doumer 
La rue de cornac est  à 100m de l'arrêt (à l'angle du restaurant les graveliers).

Depuis l'aéroport : (30 à 40 min bus-tram) 
Prendre la navette Bus qui vous déposera à la gare, depuis laquelle vous prendrez un tram Ligne C direction Parc des expositions. 
Descendre à l'arrêt Place Paul Doumer 
La rue de cornac est  à 100m de l'arrêt.

En voiture : 
Depuis Toulouse &gt, rocade direction Bordeaux Centre, à votre arrivée dans Bordeaux, continuez toujours tout droit sur les quais jusqu'au carrefour du cours Xavier Arnozan.  Rejoignez la rue notre dame, un peu plus loin sur votre gauche, accéder à la rue de Cornac (attention en contre sens, mais idéal pour déposer vos affaires).
Depuis Paris &gt, rocade direction Bordeaux Lac, suivez ensuite Bordeaux centre, prendre le cours saint louis, continuez tout droit jusqu'à la place Paul Doumer. Sur la place à votre gauche, accéder à la rue Cornac.

En bus : 
L'arrêt de bus Paul Doumer (ligne 4 et ligne 15) est à 100m de l'appartement.

Vous pouvez garer votre véhicule dans les rues à côté (cours Xavier Arnozan à 200 m), stationnement payant. Il y a aussi des places gratuites si vous acceptez de marcher 5 minutes.  Je peux vous transmettre un plan par mail avant votre arrivée si vous le demandez.
Vous avez également la possibilité d'accéder au parking sous terrain sécurisé de la cité mondiale à 2 minutes à pied (20 quai des chartrons). Tarifs : consultez le site  (19.99€/jour)",2,1,1,1,Logement entier,Appartement,,,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,10,30,0,30,300,Strictes,"Le logement

Venez découvrir ce charmant studio-T1 tout équipé avec terrasse au centre de Bordeaux, dans un quartier atypique historique  : les Chartrons, aussi réputé pour ses antiquaires et la célèbre Rue Notre Dame.

A deux pas des trams, VCub, bus, quais, vous vous sentirez bordelais dès votre arrivée. Bars, restaurants boutiques design, partout autour de vous pour partager la convivialité du quartier, 

Accès direct en tram depuis la gare SNCF (tram 20 minutes) , et depuis le parc des expositions (tram 10 minutes). Tout près de la cité mondiale. 

Cet appartement vient d'être entièrement redécoré. Il comprend une pièce à vivre de 30 m2 , avec un coin nuit sous les toits dans lequel on peut se tenir debout, mais pas partout, dans un bel immeuble en Pierre d'époque, entièrement sécurisé. 

Coin nuit : lit deux places 140cm, partie mansardé.

Salon : canapé (non dépliable) , fauteuil et table basse.

Cuisine entièrement équipée, table pour deux.

Terrasse de 12m2 sur les toits, plein sud, au calme. Idéal pour les repas sous le soleil (tables et chaises extérieures pour se prélasser)

Salle de bain : douche, une vasque,WC intégrés, machine à laver. 

Très belles prestations : pierre et poutre apparentes, parquet, déco tendance. Très lumineux. Espace optimisé pour votre confort.

Le lieu est tout équipé : wifi, climatisation, ventilateur, 2 plaques de cuisson vitrocéramique, hotte de cuisson, four, micro onde, tout pour la cuisine, cafetière senseo, grille pain, bouilloire,  fait-tout, blinder, frigo, enceinte musique.

Accès des voyageurs

Tout.

Pour des check in après 20H00, merci de le préciser lors de votre demande, car je ne pourrais certainement pas vous recevoir, dans ces cas là, j'essaye de trouver quelqu'un qui peut le faire, mais il faut prévoir un supplément (comptez 25€ à payer en espèce sur place). Si je ne trouve personne, vous devrez annuler votre séjour.

Échanges avec les voyageurs

Le plus possible.

Les voyageurs peuvent échanger avec moi avant leur arrivée pour organiser leur séjour. 

Lors du check in, je leur fais visiter les lieux, et leur indique tous les bons coins du quartier. 

Je reste disponible pendant leur séjour.

Le quartier

Le quartier est excellent : tres atypique, un village dans la ville où il fait très bon vivre, proche de l'hyper centre, mais suffisamment à proximité pour ne pas être embêté par le bruit et le monde.  A quelques mètres, tous les commerces : boulangerie, boucherie, supermarché, cave à vin, restaurants, bars, antiquaires, etc.

Les quais pour de belles balades. 

Le fameux marché des quais le dimanche ! Un luxe aux allures sereine et paisible.

Transports

Depuis la GARE TGV SNCF : (20 min en tram) 

Accès direct.

Prendre la Ligne C direction Parc des expositions 

Descendre à l'arrêt Place Paul Doumer 

La rue de cornac est  à 100m de l'arrêt (à l'angle du restaurant les graveliers).

Depuis l'aéroport : (30 à 40 min bus-tram) 

Prendre la navette Bus qui vous déposera à la gare, depuis laquelle vous prendrez un tram Ligne C direction Parc des expositions. 

Descendre à l'arrêt Place Paul Doumer 

La rue de cornac est  à 100m de l'arrêt.

En voiture : 

Depuis Toulouse &gt, rocade direction Bordeaux Centre, à votre arrivée dans Bordeaux, continuez toujours tout droit sur les quais jusqu'au carrefour du cours Xavier Arnozan.  Rejoignez la rue notre dame, un peu plus loin sur votre gauche, accéder à la rue de Cornac (attention en contre sens, mais idéal pour déposer vos affaires).

Depuis Paris &gt, rocade direction Bordeaux Lac, suivez ensuite Bordeaux centre, prendre le cours saint louis, continuez tout droit jusqu'à la place Paul Doumer. Sur la place à votre gauche, accéder à la rue Cornac.

En bus : 

L'arrêt de bus Paul Doumer (ligne 4 et ligne 15) est à 100m de l'appartement.

Autres remarques

Vous pouvez garer votre véhicule dans les rues à côté (cours Xavier Arnozan à 200 m), stationnement payant. Il y a aussi des places gratuites si vous acceptez de marcher 5 minutes.  Je peux vous transmettre un plan par mail avant votre arrivée si vous le demandez.

Vous avez également la possibilité d'accéder au parking sous terrain sécurisé de la cité mondiale à 2 minutes à pied (20 quai des chartrons). Tarifs : consultez le site  (19.99€/jour)

Amoureuse de Bordeaux, contente de faire partager mon appartement, et cette belle ville . Je vous recevrais avec joie.



A bientôt, 

Claire","Non fumeur

Pas de fête ni de soirée

L'heure d'entrée dans les lieux est 13:00 - 20:00.

- Les check-in doivent en principe se dérouler à partir de 13H et jusqu'à 20H. 

- Durant le séjour, nous souhaitons tout simplement que nos invités respectent notre appartement, ses objets mobiliers ainsi que nos voisins et le calme de la copropriété. 

-Les voyageurs doivent laisser l'appartement dans un état proche de celui dans lequel ils l'ont trouvé. 

-Les linges de toilettes sont fournis, et nous vous demandons de bien vouloir les mettre en boule à votre départ. 

-Tous les produits alimentaires ouverts doivent être jetés, et les poubelles vidées. Ainsi que la vaisselle lavée et rangée.

-Le tri des déchets est important, en bas de l'immeuble vous trouverez des poubelles pour les déchets courants, et les déchets verts. A 100m, sur la place Paul Doumer, il y a des conteneurs pour le verre.",2
398,2617837,https://www.airbnb.fr/rooms/2617837,Le duplex de Saint-Eloi,44.8375529591,-0.5685316335,"Emplacement exceptionnel pour cet appartement, situé en plein coeur du secteur sauvegardé classé patrimoine mondial UNESCO,lieu idéal pour découvrir la ville à pieds.Dans ce quartier très vivant, vous trouverez des restaurants,des cafés, des cinémas.

Ce logement se trouve au 3ème et dernier étage d'un immeuble en pierre sans ascenseur.Situé dans une impasse, l' appartement est au calme mais est situé dans un quartier très vivant.

Je serai là à l'arrivée des voyageurs pour répondre à toutes leurs questions et leur indiquer éventuellement
les endroits intéressants.",5,2,2,2,Logement entier,Appartement,,,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,Flexibles,"Le logement

Ce logement se trouve au 3ème et dernier étage d'un immeuble en pierre sans ascenseur.Situé dans une impasse, l' appartement est au calme mais est situé dans un quartier très vivant.

Échanges avec les voyageurs

Je serai là à l'arrivée des voyageurs pour répondre à toutes leurs questions et leur indiquer éventuellement

les endroits intéressants.

J'aime découvrir les grandes villes, je suis passionnée par le cinéma et la littérature, je recherche les bons restaurants quand je voyage. Quand je reçois des voyageurs dans mon appartement, j'apprécie de partager ce que je connais de ma ville.

",,2
1299,6333420,https://www.airbnb.fr/rooms/6333420,Appartement chaleureux & créatif,44.8430387688,-0.5551901423,"Situé en face de l'arrêt jardin botanique (ligne a), à 5 minutes à pied du centre ville. Au 1er et dernier étage, chambre privée avec lit double en location dans appartement de 100m2 avec terrasse : idéal pour petit déjeuner ensoleillé.",2,1,1,1,Chambre privée,Appartement,Vrai lit,,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Flexibles,"Situé en face de l'arrêt jardin botanique (ligne a), à 5 minutes à pied du centre ville. Au 1er et dernier étage, chambre privée avec lit double en location dans appartement de 100m2 avec terrasse : idéal pour petit déjeuner ensoleillé.

Bonjour, nous sommes trois filles autour de la trentaine habitant dans ce charmant appartement. Nous sommes toutes les trois dans le domaine artistique (vidéo, théâtre et graphisme). On aime partager nos bons plans sur la ville. Soyez les bienvenus.",,1
